LNG Esports vs Ultra Prime
Game 1
Time,31:02
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
MID,Tristana,4,0,0,Perfect KDA,226,10,9769.93,9891.32
ADC,Zeri,4,0,3,Perfect KDA,267,11.8,12197.78,6655.87
SUPPORT,Lulu,0,0,8,Perfect KDA,27,1.2,900.49,5202.76
Ninjas in Pyjamas - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,0,3,1,0.3,168,7.4,11176.69,16151.8
JUNGLE,Wukong,0,3,1,0.3,108,4.8,3651.91,20089.1
MID,Syndra,0,1,1,1,193,8.5,5940.86,5835.05
ADC,Aphelios,1,1,0,1,218,9.6,5066.94,5918.4
SUPPORT,Annie,0,1,1,1,14,0.6,3595.78,5176.8

Edward Gaming vs OMG
Game 1
Time,29:02
Edward Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Jax,6,0,4,Perfect KDA,272,9.4,21090.8,20121.4
JUNGLE,Vi,4,4,10,3.5,164,5.6,15042.87,24421.6
MID,Gragas,2,1,9,11,212,7.3,19532.32,23893.8
ADC,Zeri,3,1,8,11,321,11.1,29878.75,13070.8
SUPPORT,Lulu,1,2,13,7,17,0.6,5574.63,10029.2
OMG - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,0,4,2,0.5,243,8.4,16270.16,36470.9
JUNGLE,Wukong,0,3,5,1.7,161,5.5,10125.38,26511.2
MID,Akali,6,2,2,4,206,7.1,20892.47,21981.1
ADC,Aphelios,1,4,2,0.8,266,9.2,14975.24,13427.1
SUPPORT,Nautilus,1,3,4,1.7,31,1.1,4774.04,14822.8
Game 2
Time,26:09
OMG - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,5,3,7,4,234,8.9,20480.48,13716.3
JUNGLE,Vi,4,0,11,Perfect KDA,203,7.8,10065.61,19606.5
MID,Sylas,12,1,5,17,229,8.8,22913.94,24766.4
ADC,Aphelios,2,1,8,10,250,9.6,9509.57,9125.14
SUPPORT,Thresh,0,0,15,Perfect KDA,32,1.2,2098.21,5928.97
Edward Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Vladimir,2,5,2,0.8,214,8.2,11139.02,21584.9
JUNGLE,Wukong,1,6,3,0.7,131,5,8305.96,25218.4
MID,Ahri,0,3,2,0.7,189,7.2,11155.85,13116.7
ADC,Zeri,2,6,0,0.3,217,8.3,15167.65,16230.8
SUPPORT,Lulu,0,3,3,1,10,0.4,3804.94,7803.26
Game 3
Time,25:07
Edward Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,1,2,8,4.5,213,8.5,11032.87,17306.1
JUNGLE,Wukong,6,0,7,Perfect KDA,155,6.2,9815.35,22078.6
MID,Viktor,4,0,8,Perfect KDA,211,8.4,21222.68,11078.4
ADC,Aphelios,1,0,9,Perfect KDA,252,10,19420.37,5361.62
